Cell_Line,CH,CH,CH,CH,CH,CH,43,43,43,43,43,43,Io,Io,Io,Io,Io,Io,LN,LN,LN,LN,LN,LN
Plate_Layout,A,A,A,B,B,B,A,A,A,B,B,B,A,A,A,B,B,B,B,B,B,A,A,A
Replicate,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
B22,0.02329621995262215,0.01649124661215957,0.021062312815173612,0.10169753425449288,0.07326469489877462,0.07905064488438818,0.022451233378793973,0.027007912140719407,0.023774271612113488,0.021394469909544224,0.020553242861440224,0.025201938388815143,0.030940000092006165,0.03732188219040867,0.036947511673937936,0.13569324787505133,0.12486298687010443,0.1307666420609795,0.17095243519741984,0.17416442058863243,0.17067488455837476,0.08912351669894436,0.08894737790917777,0.09793953807290866
C02,0.45178173167671676,0.46444720041356513,0.4851146250437022,0.013577698685691624,0.014504523264863576,0.016434012795984453,0.6509200601345068,0.5486025591424823,0.5668965032342032,0.07397198170147469,0.09209832548064818,0.07981374823775422,0.5084834263436893,0.5238753324922494,0.5433749331697391,0.01879359150202819,0.017142916032752715,0.016043690900642473,0.08223337030205168,0.060719652268856686,0.07025096182532174,1.0380243550414046,1.0076485501842896,0.9701635267362255
C03,0.9779833416007925,0.9701040279309265,0.8338569547608072,0.03359917926929548,0.04001928852258279,0.032484710214143696,0.08688324246656136,0.09866992502876826,0.07101441468926195,0.010743313312146474,0.004251974067875994,0.02147370269095594,0.45017959266054236,0.47532813764423115,0.49915562203278635,0.02348501925630032,0.020803889556226536,0.017267335786767094,0.38081272814606215,0.37353295791353697,0.36611415062341374,0.9297708161847698,0.8228582994226303,0.7867659944091087
C04,0.06296463343360496,0.06920299580068401,0.06195646062129973,0.4198910027239244,0.4080237105298588,0.3827125075145289,0.04144440556124268,0.022870312974196432,0.010016667790727869,0.2605318501789985,0.26862791903870203,0.25471092303142145,0.12172402385109432,0.14704503750403708,0.14742244577777974,0.2422513889881429,0.2362220037127382,0.2177661286414658,0.807953649046864,0.8807969447665643,0.8088044149705315,0.21362844392120045,0.19499541939195092,0.21711386864887022
C05,0.0023743676832729188,0.0024371821545623317,0.0022890055948603127,0.8472922968964032,0.8085951488568319,0.8144147492055884,0.0020037567714005695,0.002923656297957445,0.0028453082062653815,0.4523006292004366,0.47732615792138117,0.4025052599163391,0.0025224181876869964,0.0029868357866291847,0.0028851309412082724,0.7421163141661893,0.7475699123926266,0.7755827549312205,0.9807280414996117,0.6818774544426465,0.6680094375282294,0.00436064408208267,0.004850200186502038,0.014404813218101876
C06,0.002239100675862219,0.0022517908847594624,0.0022458286167177863,0.03845971053751246,0.03210616906612902,0.025606046921715104,0.004000972443438569,0.004063465250885387,0.0031727193213144786,0.084328468038023,0.09718591634840028,0.09191125542277333,0.0019449199906752886,0.0024735064611454303,0.00250754669051323,0.08480600122842642,0.08380149020880749,0.08350752039185176,0.6043818691703987,0.6198498174028266,0.6072395229929204,0.003560882681995387,0.00439459766856064,0.003347019644880607
C07,0.002822619521660503,0.002727390796138361,0.002655071279112167,0.9271649173206902,0.9737652375801511,0.9333004846305076,0.003791657263836333,0.003961531116883701,0.0024819874850496087,0.8779592597706827,0.917195429703804,0.9878044782199038,0.001768788377908317,0.0021951443733057865,0.0023633977173134137,0.8944756580771029,0.9547970939095249,0.9414345006616185,0.9413343284803017,0.9258166142272681,0.8862766141483648,0.0033241668341894254,0.0031277604514070413,0.003391260471717529
C08,0.00721591924107397,0.007196746485078295,0.007002179498766238,0.3217562984392542,0.29285698002133104,0.30253075619387393,0.007090551709025736,0.010524699335674067,0.006930553990168312,0.12565587912664758,0.13396361845628316,0.16110035375491036,0.004226091242087523,0.004558576092491814,0.0042814396517557515,0.1691069367489072,0.16508853921602332,0.15130743602100175,0.7258157146010438,0.6438342591679587,0.7415828633136927,0.007280703147517633,0.006617708515997712,0.007565985767783463
C09,0.2808135878792538,0.25174708352538816,0.24117471059133064,0.4789219623166298,0.48904266139084474,0.47856961151664473,0.11552116558437116,0.1256981756357505,0.17092019328497599,0.6380199844196751,0.6461463346430254,0.6431793256836175,0.12885148311439779,0.12053925132240892,0.12181556400129888,0.709363178320135,0.7397875902154708,0.6616037715375324,0.29943275946750175,0.2826388467787483,0.28473337990212155,0.7183125493397047,0.7250701021500178,0.6972796717767312
C10,0.9443860388824807,0.9734902707782105,0.9172880173516029,0.022742800114435986,0.024304683416440202,0.025939364641563115,0.9867989713031069,0.973607664123057,0.9439452556545181,0.00555024191673009,0.0029055351947657733,0.007191581450530246,0.6384311953145214,0.7438184262698815,0.7610689276438235,0.001169314701647012,0.0016502560131255756,0.0013637655055750125,0.016263531863576076,0.012959046568363896,0.011289251536416897,1.0269967781886153,1.0701758986268008,0.9872235939432126
